name,lon,lat
恒瑞饭店,121.4125258,31.6248958
铁板鲈鱼,119.90374,31.01337
同福土菜馆,119.904441,31.009511
大唐贡茶,119.90461,31.01118
阿香面菜馆,119.906952,31.008677
川德火锅,119.908188,31.00474
长野拉面,119.9098353,30.99770345
太湖西岸家常菜,119.913971,30.99859
上岛咖啡,119.9196905,30.99560357
阿福土菜馆,119.94944,30.99082
菜菜,119.949555,30.999872
大别山土菜馆,120.077141,30.882839
和风洋食,120.082726,30.898273
素年咖啡,120.084514,30.886393
小灶头农家菜,120.0913789,30.88268392
必胜客,120.092903,30.873472
东方红湘菜馆,120.0956638,30.88279243
永春福传家菜,120.0959389,30.87688694
蓝爵咖啡,120.09726,30.87734
西堤岛咖啡,120.09754,30.87187
星巴克咖啡,120.098999,30.867893
厦门沃头蠔干粥,120.099838,30.872453
意利咖啡,120.099891,30.873624
爵士岛咖啡,120.100014,30.8675
老土农家菜,120.10092,30.89452
两岸咖啡,120.101432,30.866977
新意农家菜馆,120.10162,30.91062
太湖路农夫菜馆,120.101692,30.881929
BBQ巴西烤肉,120.102409,30.867564
桥头美食,120.102562,30.892441
南太湖土菜,120.1026,30.890169
第三地咖啡,120.103012,30.868002
拾年咖啡,120.104454,30.886955
荣记生煎,120.106308,30.872471
双林面饭,120.106461,30.87245
两岸咖啡西餐,120.107307,30.86911
老马酸菜鱼,120.107338,30.872669
糊粥,120.108284,30.958399
可可·咖啡语茶,120.109337,30.86812
百姓农家土菜馆,120.11042,30.87928
温州老陈粢米饭,120.11132,30.86857
天福茶咖啡,120.111778,30.869381
永春船家菜,120.114761,30.954039
你我茶,120.115662,30.88031
湖州鸡毛换糖粗菜馆,120.129333,30.855606
为民农家菜馆,120.135498,30.86499
老三土菜馆,120.149818,30.858325
林中土菜馆,120.238411,31.446569
双林大锅菜,120.250183,30.870365
象山海鲜,120.2584,30.863359
欧凯西餐,120.26097,30.85757
杭州永和豆浆,120.26203,30.86489
猪肚鸡,120.262374,32.008886
味道江湖菜,120.263725,30.853985
时月咖啡,120.264687,32.018745
若微咖啡,120.264755,32.019543
果园农家饭,120.265709,31.14163
老北京火锅,120.265999,32.001392
老季市私房菜馆,120.267959,32.004077
转角咖啡,120.268219,32.014473
一家人川菜馆,120.268219,32.01123
三江农家饭,120.268264,31.142889
茗明茶,120.269226,32.010818
丰俭酸菜鱼,120.269493,32.010792
龙龙农家菜馆,120.270607,32.010731
生野咖啡,120.27124,32.016212
永吉家常蒸菜馆,120.271278,31.48547
渝远亭概念川菜,120.272337,31.4737
何记饭庄,120.273338,31.071569
何记太湖饭庄,120.27454,31.07057
恒华园餐厅＆自助火锅,120.274703,31.473367
东佳人饭馆,120.276299,32.01947
昊盛美食,120.276314,32.019001
老马兰州拉面,120.276665,31.927191
世纪海鲜,120.276786,32.00168
爱琴海咖啡,120.277236,31.990329
明月饭庄,120.28424,31.06472
山水农家饭,120.28536,31.06506
赏湖楼农家饭,120.285797,31.0651
秦记农家饭,120.286171,31.06476
植里好怡家饭庄,120.286484,31.140581
金陵饭庄,120.287598,32.01342
光明塔左岸咖啡,120.289047,31.921551
普陀小海鲜,120.291306,31.904999
丽湖蒸菜馆,120.293083,31.922735
徐记农家饭,120.29316,31.07776
新石器烤肉,120.29557,31.923126
凤记农家饭,120.296852,31.07303
高丽苑韩国烤肉,120.2976,31.923468
左右咖啡,120.2979864,31.90771435
阴山岛家常饭,120.301415,31.152917
江阴大润发肯德基,120.301704,31.9119
包山农家饭,120.301857,31.106079
迎山湖农家饭,120.302,31.104
上岸咖啡,120.3020619,31.90818576
花之缘农家饭,120.30242,31.10843
江南公社概念湘菜,120.3031098,31.9069458
百年顺香家常菜馆,120.304,31.904
林屋农家饭,120.304451,31.10479
新三江农家饭,120.31,31.1317
春梅冷菜,120.32289,32.02215
缘缘冷菜,120.32931,32.00668
云亭猪头肉,120.343313,31.8646696
顺盛菜馆,120.34722,31.85742
彬彬美食,120.356148,32.104801
快活林野菜馆,120.3632889,31.19119453
湖心野生菜馆,120.3663448,31.19769263
外婆烧,120.3697454,31.49128718
大千川菜,120.375298,31.490589
深蓝咖啡,120.375999,31.490299
周西家常菜馆,120.3844929,31.85598098
东山小长湾特色农家饭,120.386085,31.101913
三房桥小饭馆,120.387657,31.48457
长寿面,120.39144,31.85448
红叶农家菜,120.39307,31.28243
川福火锅,120.39404,30.94809
雅迪咖啡,120.40245,31.86306
上尚品咖啡,120.404228,31.8633
要德骨头汤,120.40512,31.86288
川渝楼干锅火锅,120.405273,31.338084
东山农家饭庄,120.40637,31.08875
新经典咖啡,120.40666,31.86313
阿胖夜排档火锅,120.41144,31.86334
老唐夜排档火锅,120.41152,31.86417
上好咖啡语茶,120.41155,31.07904
百度烤鱼,120.412924,30.870646
名都咖啡,120.413399,30.869841
阿惠蒸菜馆,120.414101,31.95561
百岁面,120.41469,30.87331
